Summary,Requirement ID,Description,Requirement Rationale
DS: No-Op Command,DS1000,"Upon receipt of a No-Op command, DS shall increment the DS Valid Command Counter and generate an event message.",Debug command to verify application is alive.
DS: Reset Counters Command,DS1001,"Upon receipt of a Reset Counters command, DS shall reset the following housekeeping variables to a value of zero:
a) Valid Command Counter
b) Command Rejected Counter
c) Packets discarded (DS was disabled) Counter
d) Packets discarded (pkt has no filter) Counter
e) Packets discarded (failed filter test) Counter
f) Packets that passed filter test Counter
g) Good destination file I/O Counter
h) Bad destination file I/O Counter
i) Good updates to secondary header Counter
j) Bad updates to secondary header Counter
k) Destination file table loads Counter
l) Failed attempts to get table data pointer Counter
m) Packet filter table loads Counter
n) Failed attempts to get table data pointer Counter","Important for testing and on-orbit flight operations in order to start with
a “clean slate”."
DS: Command Length Verification,DS1002,"For all DS commands, if the length contained in the message header is not equal to the expected length, DS shall reject the command and issue an event message.",Basic command verification in the event of SEU or memory corruption
DS: Valid Command Counter,DS1004,"If DS accepts any command as valid, DS shall execute the command, increment the DS Valid Command Counter and issue an event message.",Operators require feedback on command execution.
DS: Reject Invalid Command,DS1005,"If DS rejects any command, DS shall abort the command execution, increment the DS Command Rejected Counter and issue an error event message.",Operators require feedback on command execution.
DS: Message Storage Determination,DS2000,"Upon receipt of a message, if the Packet Processing State is ENABLED, DS shall determine if the message shall be stored based on the contents of the Packet Filter Table and the Destination File Table.",Specifies source for message storage criteria configuration
DS: Message Storage Determination - Packet Filter Table Contents,DS2000.1,"The Packet Filter Table contents shall include:
a) Message ID
b) Destination file table index
c) Filter type (time/sequence count)
d) Algorithm N value
e) Algorithm X value 
f) Algorithm O value",Specifies minimum packet filter table contents which support operational configuration management
DS: Message Storage Determination - Destination File Table Contents,DS2000.2,"The Destination File Table contents shall include:
a) Pathname
b) Basename
c) Extension
d) Filename type (time/sequence)
e) Default Destination enable state
f) Max file size (in bytes)
g) Max file age (in seconds) 
h) Initial Sequence Count",Specifies minimum Destination File Table contents which support operational configuration management
DS: N Of X Filter Algorithm,DS2001,"DS shall store ""N of X"" messages starting at offset O.",Specifies storage filtering method
DS: N Of X Filter Algorithm - Zero N Or X Value,DS2001.1,"If either the X value or the N value is zero, then the message shall not be stored.","Gracefully handle ""0"" parameters and provide a way to specify no storage."
DS: Multiple Destination Files Per Message,DS2002,DS shall store each message in up to <PLATFORM_DEFINED> different destination files.,Support platform configuration of maximum number of files to store a message to
DS: Multiple Destination Files Per Message - Destination File Creation,DS2002.1,Destination files shall be created when the first message is received that is passed by the filter algorithm for that particular message and selects that particular destination file.,Preserve space and create files only as needed.
DS: Filter Algorithm Input Argument,DS2003,The input argument to the filter algorithm shall be determined by the Filter Type indicator.,Supports selectable filter type with unique input arguments
DS: Filter Algorithm Input Argument - Sequence Based Filtering,DS2003.1,If Filter Type indicates Sequence based filtering then the algorithm input argument is a value equal to the packet sequence count.,Specifies sequence based filtering input argument
DS: Filter Algorithm Input Argument - Time Based Filtering,DS2003.2,If Filter Type indicates Time based filtering then the algorithm input argument is a value created from the lower 11 bits of packet timestamp seconds plus the high 4 bits of timestamp subseconds.,Specifies time based filtering input argument
DS: Unique Filename Construction,DS3000,DS shall construct unique filenames using either sequence count or time as selected within the Destination File Table.,Specifies operational control via table of unique data file name generation method.
DS: Unique Filename Construction - Sequence Based Naming,DS3000.1,If Filename Type indicates naming based on Sequence the constructed filename will include a character representation of the Sequence Count value from the Destination File Table.,Unique file name generation using the file sequence count
DS: Unique Filename Construction - Sequence Based Naming - Sequence Count Increment,DS3000.1.1,If Filename Type indicates naming based on Sequence the value of Sequence Count shall be incremented each time a file is created.,Sequence count behavior based on file creation
DS: Unique Filename Construction - Time Based Naming,DS3000.2,If Filename Type indicates naming based on Time the constructed filename will include a character representation of the packet timestamp.,Unique file name construction based on time
DS: Unique Filename Construction - Time Based Naming - Time Format,DS3000.2.1,"If Filename Type indicates naming based on Time the file date and time shall be represented in the following format: ""YYYYDDDHHMMSS"".",Time format for unique file name creation
DS: Destination File Size Limit,DS3001,"Prior to writing a packet to an existing destination file, DS shall verify that the resulting file size (after the write) shall not exceed the file size limit as defined in the Destination File Table.",Destination file size limit enforcement method
DS: Destination File Size Limit - Close And Open New File,DS3001.1,If the resulting file size would exceed the file size limit then DS shall close the existing file and open another file.,Specifies behavior when reaching the destination file size limit
DS: Destination File Size Limit - Minimum One Packet Per File,DS3001.2,A minimum of one packet shall be written to a file,Preserve space and create files only as needed.
DS: Destination File Age Limit,DS3002,"Periodically, DS shall test the age of all open destination files. If any file age exceeds the maximum age defined for that file in the Destination File Table, then DS shall close the file.",Destination file age limit enforcement
DS: Destination File Age Limit - Age Update Rate,DS3002.1,DS shall update file age and test age limits every time DS processes its housekeeping telemetry request command.,Specifies rate for destination file age limit check
DS: Destination File Primary Header,DS3003,"Each DS destination file shall contain a primary cFE file header with the following information: 
a) Content Type 
b) SubType 
c) Primary header length 
d) Spacecraft ID 
e) Processor ID 
f) Application ID 
g) File creation time (seconds) 
h) File creation time (sub-seconds)",Standard cFE file header
DS: Destination File Secondary Header,DS3004,"Each DS destination file shall contain a secondary file header with the following information:
a) File close time (seconds)
b) File close time (sub-seconds)
c) File table index
d) Qualified Filename",Destination file secondary file header contents
DS: File Write Error Handling,DS3005,"For every file write error, DS shall:
a) Send an event message
b) Increment total number of file write errors
c) Close the destination file
d) Disable the destination",Notify operators of error and prevent ongoing future errors caused by writing to the same destination file.
DS: File Close Telemetry Message,DS3006,DS shall send a file information telemetry message when closing a data storage file.,Provides file information telemetry packet containing the current status for a closed destination file.
DS: Disable Packet Processing Command,DS5000,"Upon receipt of a Disable command, DS shall stop filtering and storing messages.
Note: This command will set the Packet Processing State to DISABLED.",Operational control of packet processing state (message storage)
DS: Enable Packet Processing Command,DS5001,"Upon receipt of an Enable command, DS shall begin filtering and storing messages.
Note: This command will set the Packet Processing State to ENABLED.",Operational control of packet processing state (message storage)
DS: Close File Command,DS5002,"Upon receipt of a Close File command, DS shall close the command-specified destination file.",Operational interface to manually close a single destination file
DS: Set File Basename Command,DS5003,"Upon receipt of a Set File Basename command, DS shall set the file basename for the command-specified destination file.",Operational support to manually set file basename
DS: Set Next File Sequence Counter Command,DS5004,"Upon receipt of a Set Next File Sequence Counter command, DS shall set the command-specified  file counter for the command-specified Destination File.",Operational support for manual control of the file counter
DS: Enable Destination File Command,DS5005,"Upon receipt of an Enable Destination File command, DS shall enable file collection for the command-specified Destination File.",Operational control for managing destination file collection state
DS: Disable Destination File Command,DS5006,"Upon receipt of a Disable Destination File command, DS disable file collection for the command-specified Destination File.",Operational control for managing destination file collection state
DS: Close All Files Command,DS5007,"Upon receipt of a Close All Files command, DS shall close all open destination files.",Operational interface to close every open destination file with a single command
DS: Set Filter File Index Command,DS5008,"Upon receipt of a Set File Index for a Packet Filter Table entry command, DS shall update the destination file index.",Operational support for setting Packet Filter Table destination file index
DS: Set Filter Type Command,DS5009,"Upon receipt of a Set Filter Type for a Packet Filter Table entry command, DS shall update the filter type to the command-specified filter type.",Operational support for setting Packet Filter Table entry filter type
DS: Set Filter Parameters Command,DS5010,"Upon receipt of a Set Filter Parameter for a Packet Filter Table entry command, DS shall update the N, X, O Parameters to the command-specified values",Allow on-orbit modification of filtering parameters without requiring a table update.
DS: Set Destination Type Command,DS5011,"Upon receipt of a Set Destination Type for a destination file type command, DS shall update the Destination type to the command-specified destination type.",Operational support for setting file destination type
DS: Set Destination Path Command,DS5012,"Upon receipt of a Set Path for a destination filename command, DS shall update the path to the command-specified path.",Operational support to manually set the destination filename path
