Summary,Requirement ID,Description,Requirement Rationale
DS: Set Destination Extension Command,DS5013,"Upon receipt of a Set Extension for destination filename command, DS shall update the file extension to the command-specified extension.",Operational support to manually set the destination filename extension
DS: Set Destination File Size Limit Command,DS5014,"Upon receipt of a Set Maximum Size for a destination file command, DS shall update the maximum file size to the command-specified maximum",Operational support to manually set the destination file maximum size
DS: Set Destination File Age Limit Command,DS5015,"Upon receipt of a Set Maximum Age for a destination file command, DS shall update the maximum destination file age to the command-specified maximum age.",Operational support to manually set destination file maximum age limit
DS: Add Message ID Command,DS5016,"Upon receipt of an Add Message ID to Packet Filter Table command, DS shall add the command-specified Message ID to the next unused entry in the Packet Filter Table.",Allow on-orbit modification of Packet Filter Table without requiring a table update.
DS: Add Message ID Command - Invalid Message ID,DS5016.1,If the command-specified Message ID is invalid DS will reject the command and send an event message.,Response to invalid message id in command
DS: Add Message ID Command - Filter Table Not Loaded,DS5016.2,If the Packet Filter table is not loaded DS will reject the command and send an event message.,Response to command without a loaded Packet Filter table
DS: Add Message ID Command - Duplicate Message ID,DS5016.3,If the command-specified Message ID is already specified in the Packet Filter Table DS will reject the command and send an event message,Response to commanding an already specified message ID in the Packet Filter Table
DS: Add Message ID Command - Filter Table Full,DS5016.4,If there are no unused entries in the Packet Filter Table DS will reject the command and send an event message,Response to a command to add an entry to a full Packet Filter Table
DS: Get File Info Command,DS5017,"Upon Receipt of a Get File Info command, DS shall generate a telemetry packet containing the following information for each destination file:
     1) File age
     2) File size
     3) File rate
     4) Sequence count
     5) Enable state
     6) Open state
     7) Filename ",Provides information on file status
DS: Remove Message ID Command,DS5018,"Upon receipt of a Remove Message ID to Packet Filter Table command, DS shall remove the command-specified Message ID from the Packet Filter Table.",Allow on-orbit modification of Packet Filter Table without requiring a table update.
DS: Remove Message ID Command - Invalid Message ID,DS5018.1,If the command-specified Message ID is invalid DS will reject the command and send an event message.,Allow on-orbit modification of Packet Filter Table without requiring a table update.
DS: Remove Message ID Command - Filter Table Not Loaded,DS5018.2,If the Packet Filter Table is not loaded DS will reject the command and send an event message.,Response to command without a loaded Packet Filter Table.
DS: Remove Message ID Command - Message ID Not Found,DS5018.3,If the command-specified Message ID is not specified in the Packet Filter Table DS will reject the command and send an event message.,Response to commanding a specified message ID that does not exist in the Packet Filter Table.
DS: Housekeeping Message,DS8000,"DS shall generate a housekeeping message containing the following:
a) Valid Command Counter
b) Command Rejected Counter
c) Packets discarded (DS was disabled) Counter
d) Packets discarded (pkt has no filter) Counter
e) Packets discarded (failed filter test) Counter
f) Packets that passed filter test Counter
g) Good destination file I/O Counter
h) Bad destination file I/O Counter
i) Good updates to secondary header Counter
j) Bad updates to secondary header Counter
k) Destination file table loads Counter
l) Failed attempts to get table data pointer Counter
m) Packet filter table loads Counter
n) Failed attempts to get table data pointer Counter
o) Application State
p) Filename of last loaded Filter Table",Housekeeping telemetry to indicate basic DS status.
DS: Initialize Housekeeping Data,DS9000,"Upon cFE Power-On DS shall initialize the following Housekeeping data to Zero (or value specified):
a) Valid Command Counter
b) Command Rejected Counter
c) Packets discarded (DS was disabled) Counter
d) Packets discarded (pkt has no filter) Counter
e) Packets discarded (failed filter test) Counter
f) Packets that passed filter test Counter
g) Good destination file I/O Counter 
h) Bad destination file I/O Counter
i) Good updates to secondary header Counter
j) Bad updates to secondary header Counter
k) Destination file table loads Counter
l) Failed attempts to get table data pointer Counter
m) Packet filter table loads Counter
n) Failed attempts to get table data pointer Counter","Start from a known ""clean"" state."
DS: Load Default Tables On Power-On,DS9001,Upon cFE Power-On DS shall initialize the DS tables from the default files.,"Start from a known ""good"" state."
DS: Close All Files On Reset,DS9002,"Upon a cFE Processor Reset or DS Application Reset, DS shall close all files.",Orderly shutdown of files in a reset.
DS: Reset Restoration With Preserve Flag True,DS9003,"Upon a cFE Processor Reset or DS Application Reset ,  DS shall restore the following if the associated <PLATFORM_DEFINED> Preserve Flag is set to TRUE:
a) Packet Filter Table
b) Destination File Table
c) File Sequence number for all Destination File Sets
d) Packet Processing State (ENABLED or DISABLED)",Processor or application reset behavior when preserve flag is set to TRUE
DS: Reset Restoration With Preserve Flag False,DS9004,"Upon a cFE Processor Reset or DS Application Reset ,  DS shall restore the following if the associated <PLATFORM_DEFINED> Preserve Flag is set to FALSE:
a) File Sequence Counters
b) <PLATFORM_DEFINED> Packet Processing State",Processor or Application reset behavior when Preserve Flag is set to FALSE
DS: Packet Filter Table Validation,DS9005,"Upon any initialization and/or Packet Filter Table Update, DS shall validate the Packet Filter Table:
a) message ID
b) destination file table index
c) filter type (time/sequence)
d) filter parms (N,X,O)",Validate the items that can be validated when a table is updated (some items cannot be validated until runtime).
DS: Packet Filter Table Message Subscription,DS9006,"Upon any initialization and/or Packet Filter Table Update, DS shall subscribe to the messages defined in the Data Storage Packet Filter Table.",Must subscribe to all of the messages defined in the Data Storage Packet Filter Table after any reset.
DS: Destination File Table Validation,DS9007,"Upon any initialization and/or Destination File Table Update, DS will validate the Destination File Table:
a) filename type
b) file enable/disable state
c) max file size
d) max file age
e) sequence count",Valid the items that can be validated when a table is updated (some items cannot be validated until runtime).
DS: Power-On Packet Processing State,DS9008,Upon cFE Power-On DS shall set the Packet Processing State to the <PLATFORM_DEFINED> state (ENABLED or DISABLED).,Power-on reset Packet Processing State behavior
